,,,,,,,
Tên công ty,Công ty Cổ phần Đầu tư Thế Giới Di Động,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,15/03/2025,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
12/01/2024,41519.9526812308,42264.0378547296,41470.3470029976,41569.5583594641,-550,-0.0129564193168433,7783700
11/01/2024,41916.7981070968,42809.7003152954,41867.1924288636,42115.2208200299,200,0.00473372781065096,5686900
10/01/2024,42363.2492111961,42561.6719241291,41569.5583594641,41916.7981070968,-450,-0.0105386416861827,7906700
09/01/2024,42809.7003152954,42859.3059935286,42065.6151417966,42363.2492111961,-500,-0.0115740740740741,10039100
08/01/2024,43950.6309146601,43950.6309146601,42859.3059935286,42859.3059935286,-650,-0.0148232611174458,7269200
05/01/2024,42859.3059935286,43752.2082017271,42660.8832805956,43504.1798105609,650,0.0150462962962963,10064100
04/01/2024,42859.3059935286,43454.5741323276,42660.8832805956,42859.3059935286,0,0,9772600
03/01/2024,42065.6151417966,43107.3343846949,41668.7697159306,42859.3059935286,750,0.0176678445229681,7105900
02/01/2024,42760.0946370621,42958.5173499951,41817.5867506304,42115.2208200299,-350,-0.00817757009345799,8196900
29/12/2023,42859.3059935286,42958.5173499951,42313.6435329629,42462.4605676626,-250,-0.0058072009291521,5642000
28/12/2023,42512.0662458959,42908.9116717619,42462.4605676626,42710.4889588289,200,0.00466744457409574,8145500
27/12/2023,42363.2492111961,42710.4889588289,42214.4321764964,42512.0662458959,150,0.00351288056206078,6365000
26/12/2023,42214.4321764964,42809.7003152954,42016.0094635634,42363.2492111961,50,0.0011723329425557,9490400
25/12/2023,42016.0094635634,43355.3627758611,42016.0094635634,42313.6435329629,300,0.00708382526564355,9739900
22/12/2023,42115.2208200299,42313.6435329629,41668.7697159306,42016.0094635634,-300,-0.00703399765533408,7471600
21/12/2023,41867.1924288636,42363.2492111961,41519.9526812308,42313.6435329629,250,0.00589622641509435,8637700
20/12/2023,40329.4164036328,42065.6151417966,40180.5993689331,42065.6151417966,1750,0.0430504305043051,24331400
19/12/2023,39188.4858042681,40577.4447947991,38890.8517348686,40329.4164036328,1050,0.0265151515151516,7070900
18/12/2023,40627.0504730323,40627.0504730323,39188.4858042681,39287.6971607346,-1150,-0.0282208588957055,10066600
15/12/2023,41271.9242900646,41271.9242900646,40180.5993689331,40428.6277600993,-850,-0.0204326923076923,15172200
14/12/2023,41767.9810723971,41966.4037853301,41073.5015771316,41271.9242900646,-100,-0.00239808153477217,14368000
13/12/2023,42462.4605676626,43256.1514193946,41222.3186118313,41371.1356465311,-800,-0.0188235294117647,13323600
12/12/2023,42164.8264982631,42264.0378547296,41767.9810723971,42164.8264982631,0,0,7282000
11/12/2023,42264.0378547296,42313.6435329629,41569.5583594641,42164.8264982631,-100,-0.00234741784037562,7444500
08/12/2023,40478.2334383326,42660.8832805956,40081.3880124666,42264.0378547296,1750,0.0428396572827416,17607000
07/12/2023,40726.2618294988,40775.8675077321,39188.4858042681,40527.8391165658,-100,-0.00244200244200243,11560000
