,,,,,,,
Tên công ty,Công ty Cổ phần Sữa Việt Nam,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,15/03/2025,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
05/07/2024,63670.2476819313,64725.0258814813,63670.2476819313,64437.3590997859,800,0.0120481927710843,4285100
04/07/2024,63574.3587546994,64149.6923180904,63574.3587546994,63670.2476819313,200,0.00302114803625386,2688900
03/07/2024,63478.4698274676,63574.3587546994,63286.691973004,63478.4698274676,0,0,1437600
02/07/2024,63286.691973004,63574.3587546994,63094.9141185403,63478.4698274676,200,0.00303030303030294,2042800
01/07/2024,63094.9141185403,63286.691973004,62615.4694823812,63286.691973004,500,0.00763358778625944,1909300
28/06/2024,62807.2473368448,63286.691973004,62615.4694823812,62807.2473368448,200,0.00306278713629404,2821700
27/06/2024,62519.5805551494,62903.1362640767,62423.6916279176,62615.4694823812,100,0.00153374233128845,2755400
26/06/2024,63094.9141185403,63094.9141185403,62423.6916279176,62519.5805551494,-300,-0.00458015267175571,2599300
25/06/2024,63094.9141185403,63478.4698274676,62807.2473368448,62807.2473368448,0,0,3680600
24/06/2024,63382.5809002358,63862.0255363949,62615.4694823812,62807.2473368448,-500,-0.00757575757575757,3871900
21/06/2024,63766.1366091631,64341.470172554,63286.691973004,63286.691973004,0,0,4023700
20/06/2024,62711.358409613,64053.8033908586,62519.5805551494,63286.691973004,700,0.010719754977029,4397100
19/06/2024,63286.691973004,63286.691973004,62423.6916279176,62615.4694823812,-600,-0.00910470409711683,6211000
18/06/2024,63766.1366091631,63766.1366091631,63190.8030457721,63190.8030457721,-100,-0.00151515151515147,2751700
17/06/2024,63574.3587546994,63862.0255363949,63286.691973004,63286.691973004,-200,-0.00302114803625375,3617600
14/06/2024,64245.5812453222,64533.2480270177,63478.4698274676,63478.4698274676,-700,-0.0104633781763827,4124200
13/06/2024,64245.5812453222,64629.1369542495,64053.8033908586,64149.6923180904,-100,-0.0014925373134328,4003600
12/06/2024,63766.1366091631,64533.2480270177,63574.3587546994,64245.5812453222,500,0.00751879699248126,3522696
11/06/2024,64629.1369542495,64725.0258814813,63670.2476819313,63766.1366091631,-700,-0.0104166666666666,6177100
10/06/2024,65588.0262265677,65683.9151537996,64437.3590997859,64437.3590997859,-600,-0.00884955752212391,4584100
07/06/2024,64820.9148087132,65779.8040810314,64725.0258814813,65012.6926631768,600,0.0089285714285714,4127600
06/06/2024,66163.3597899587,66163.3597899587,64437.3590997859,64437.3590997859,-1300,-0.018978102189781,4907800
